provider,ticker,published_utc,headline,summary,url_redirect,image_url,source,url_final,url_canonical,url_original,domain,http_status,error
finnhub,AAPL,2025-10-14T06:40:39,UK pay growth slows and unemployment ticks higher ahead of budget,"The UK jobs market continues to show signs of weakness, with pay growth slowing and unemployment edging higher.",https://finnhub.io/api/news?id=8648c567d7b25a89c92f9affbb7e60132dae50fba9de02fe8317b84a591a89b6,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,Yahoo,https://uk.finance.yahoo.com/news/uk-pay-growth-unemployment-jobs-autumn-budget-064039144.html,https://uk.finance.yahoo.com/news/uk-pay-growth-unemployment-jobs-autumn-budget-064039144.html,https://uk.finance.yahoo.com/news/uk-pay-growth-unemployment-jobs-autumn-budget-064039144.html,yahoo.com,200,
finnhub,AAPL,2025-10-14T05:00:06,Rising pension age hits women hardest,"Enabling people to work for longer can spell good news for people’s retirement planning – but there are significant challenges, especially for women.",https://finnhub.io/api/news?id=c15b8eb813e3ef3ca96144204f78889a70449255ea885d33187c59821e89f1f6,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,Yahoo,https://uk.finance.yahoo.com/news/rising-pension-age-women-050006550.html,https://uk.finance.yahoo.com/news/rising-pension-age-women-050006550.html,https://uk.finance.yahoo.com/news/rising-pension-age-women-050006550.html,yahoo.com,200,
finnhub,AAPL,2025-10-14T05:00:00,How to ask for changes at work if you are neurodivergent,Advocating for yourself can help create a culture where others feel able to do the same and will create fair and equal conditions for everyone at work.,https://finnhub.io/api/news?id=96a2e7b9c93285db40190c528b28630e5aadc83055fb2713cd00e3e1ae986728,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,Yahoo,https://uk.finance.yahoo.com/news/neurodivergent-workplace-changes-050000638.html,https://uk.finance.yahoo.com/news/neurodivergent-workplace-changes-050000638.html,https://uk.finance.yahoo.com/news/neurodivergent-workplace-changes-050000638.html,yahoo.com,200,
finnhub,AAPL,2025-10-14T03:38:44,Apple announces major expansion of renewables investment across Europe,The tech giant has increased its involvement in clean energy projects as part of efforts to match the amount used by customers to power their devices.,https://finnhub.io/api/news?id=c1d9f815fe2dfba0569501b05ba693d0079a1035ee3508e4ddb2bf37f89847aa,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,Yahoo,https://uk.finance.yahoo.com/news/apple-announces-major-expansion-renewables-030000641.html,https://uk.finance.yahoo.com/news/apple-announces-major-expansion-renewables-030000641.html,https://uk.finance.yahoo.com/news/apple-announces-major-expansion-renewables-030000641.html,yahoo.com,200,
finnhub,AAPL,2025-10-14T02:25:09,"Dow Jones Futures: Trump Tariff Comments Spark Market Gains; Broadcom, Nvidia, Oracle, Tesla Rally","Dow Jones Futures: Trump tariff comments sparked big stock market gains Monday. AI giants Broadcom, Nvidia, Oracle and Tesla rallied.",https://finnhub.io/api/news?id=d4932dce49ecd63da9639267de0fa1ac063e76d644f3be79e82a291f669893ac,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,Yahoo,https://finance.yahoo.com/m/e32a4785-129d-3b23-bf6c-a69a6005cdfa/dow-jones-futures%3A-trump.html,https://finance.yahoo.com/m/e32a4785-129d-3b23-bf6c-a69a6005cdfa/dow-jones-futures-trump.html,https://finance.yahoo.com/m/e32a4785-129d-3b23-bf6c-a69a6005cdfa/dow-jones-futures-trump.html,yahoo.com,200,
finnhub,AAPL,2025-10-14T01:02:00,"1 Unstoppable Stock Poised to Join Nvidia, Apple, Microsoft, Amazon, and Alphabet in the $2 Trillion Club by 2027","Semiconductors form the foundation of the artificial intelligence (AI) revolution, and this company is ringing the cash register.",https://finnhub.io/api/news?id=71e1efd5f572c0e8de8e076b28323e96c9055ce7964aff1ab2e72f0fb8fe74c1,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,Yahoo,https://www.fool.com/investing/2025/10/13/1-unstoppable-stock-set-to-join-nvidia-apple-micro/,https://www.fool.com/investing/2025/10/13/1-unstoppable-stock-set-to-join-nvidia-apple-micro/,https://www.fool.com/investing/2025/10/13/1-unstoppable-stock-set-to-join-nvidia-apple-micro/,fool.com,200,
finnhub,AAPL,2025-10-13T23:01:00,Retail spending slows as Budget looms large,"Non-food sales growth slowed to 0.7% against growth of 1.7% last September and below the 12-month average growth of 0.9%, the BRC and KPMG reported.",https://finnhub.io/api/news?id=2bff25ea4e2856933de2b20238a8cf8da811abe8eee18934443fc83439d178d0,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,Yahoo,https://uk.finance.yahoo.com/news/retail-spending-slows-budget-looms-230100116.html,https://uk.finance.yahoo.com/news/retail-spending-slows-budget-looms-230100116.html,https://uk.finance.yahoo.com/news/retail-spending-slows-budget-looms-230100116.html,yahoo.com,200,
finnhub,AAPL,2025-10-13T21:06:42,Jefferies Flags Margin Risk For Apple iPhone 17,Tariffs and base mix pressure Apple profit outlook,https://finnhub.io/api/news?id=2a6cfa68379c56ddd2b99be9704cdb516e35bdaf151768ffbf6dcfb56966cd05,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,Yahoo,https://finance.yahoo.com/news/jefferies-flags-margin-risk-apple-210642153.html,https://finance.yahoo.com/news/jefferies-flags-margin-risk-apple-210642153.html,https://finance.yahoo.com/news/jefferies-flags-margin-risk-apple-210642153.html,yahoo.com,200,
finnhub,AAPL,2025-10-13T21:01:28,Apple In Talks To Buy Prompt AI Talent,Employees urged to apply as transition begins now,https://finnhub.io/api/news?id=fd28b442b41e67d0d5cdb149baf852a1017648fbed85491f8ced1bb2a5fc31f6,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,Yahoo,https://finance.yahoo.com/news/apple-talks-buy-prompt-ai-210128910.html,https://finance.yahoo.com/news/apple-talks-buy-prompt-ai-210128910.html,https://finance.yahoo.com/news/apple-talks-buy-prompt-ai-210128910.html,yahoo.com,200,
finnhub,AAPL,2025-10-13T20:15:00,"Top Stock Reports for Apple, Eli Lilly & Visa","Apple's strong Services growth, Eli Lilly's GLP-1 momentum, and Visa's digital expansion headline today's top stock reports.",https://finnhub.io/api/news?id=61d183e4eb7f53c15fe6741254730a10161bf14157b6958dd1bf953601abb40f,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,Yahoo,https://finance.yahoo.com/news/top-stock-reports-apple-eli-201500777.html,https://finance.yahoo.com/news/top-stock-reports-apple-eli-201500777.html,https://finance.yahoo.com/news/top-stock-reports-apple-eli-201500777.html,yahoo.com,200,
